original,fichier_final,domaine,type,son_supprime,visages_anonymises
07C5EA1A-E67C-4263-89D6-D285197B84CF.jpeg,energy/01-cablage-coffret-electrique.webp,energy,photo,sans objet,aucun detecte
08B76387-3640-448E-85F4-4699A96A28C5.jpeg,energy/02-alimentation-protection-electrique.webp,energy,photo,sans objet,aucun detecte
1425FB08-3C41-41C2-809B-7B1CF1060B1D.jpeg,energy/03-tableau-electrique-industriel.webp,energy,photo,sans objet,aucun detecte
200DDA91-47E3-4A1A-BAA6-D8AF31FC8B17.jpeg,energy/04-controle-installation-electrique.webp,energy,photo,sans objet,oui
AEF3B32F-0504-4735-A0DE-A6EBBE5B04CE.jpeg,energy/05-bornier-distribution-electrique.webp,energy,photo,sans objet,aucun detecte
FB552023-A233-451A-B4F0-A0C7C710F4D7.jpeg,energy/06-driver-eclairage-tridonic.webp,energy,photo,sans objet,aucun detecte
FB72E8F6-0E9E-4ED5-93AB-E06494407EB3.jpeg,energy/07-cellules-distribution-electrique.webp,energy,photo,sans objet,aucun detecte
233CD45E-B6B6-4281-8C5A-67366F072E6E.jpeg,industry/01-actionneur-pneumatique-industriel.webp,industry,photo,sans objet,aucun detecte
4001FF5F-0055-4368-B08F-4D42FA3EF1B6.jpeg,industry/02-regulation-installation-frigorifique.webp,industry,photo,sans objet,aucun detecte
51814FB5-C73D-4C00-900F-8A2622535AD0.jpeg,industry/03-cablage-automatisme-industriel.webp,industry,photo,sans objet,aucun detecte
5504B8C7-BA08-499E-A2AF-6D32A826B2E7.jpeg,industry/04-automate-schneider-electric.webp,industry,photo,sans objet,aucun detecte
5DEF4C85-DEFC-4BF0-A2E5-8F1760F8D6D9.jpeg,industry/05-coffret-commande-industriel.webp,industry,photo,sans objet,aucun detecte
6441940C-E3DA-4B69-BEB7-69961AAF01EE.jpeg,industry/06-regulateur-frigorifique-connecte.webp,industry,photo,sans objet,aucun detecte
D4DA99E8-622F-4255-9750-FB9FC1F6C266.jpeg,industry/07-relais-automatisme-industriel.webp,industry,photo,sans objet,aucun detecte
4559F14D-782B-4A57-A91A-32C48F13A539.jpeg,security/01-controle-acces-interphone.webp,security,photo,sans objet,aucun detecte
469CCEBA-8ED0-4FD7-A6C3-6AFC9F77A0F6.jpeg,automobile/01-clonage-transpondeur-id46.webp,automobile,photo,sans objet,aucun detecte
9C9C0C07-CB20-41E2-B950-BD30D9B71905.jpeg,automobile/02-barillet-serrure-automobile.webp,automobile,photo,sans objet,aucun detecte
A823227E-24DF-4BF8-9300-9D9E0F5B4E3A.jpeg,automobile/03-cle-automobile-xhorse.webp,automobile,photo,sans objet,aucun detecte
D68784B2-56DD-43F9-B977-AFF077919BA9.jpeg,automobile/04-diagnostic-immobilisation-citroen.webp,automobile,photo,sans objet,aucun detecte
F3C74C63-5AA1-448F-95FD-CF26DCBA9DDD.jpeg,automobile/05-interface-diagnostic-multimarque.webp,automobile,photo,sans objet,aucun detecte
4794CBD2-294E-426D-9D7C-2B11A7166674.jpeg,digital/01-reparation-smartphone-en-atelier.webp,digital,photo,sans objet,aucun detecte
